satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
0,satisfied,Male,Loyal Customer,40,Business travel,Business,826,2,2,2,2,5,5,4,3,3,2,3,5,3,4,18,19.0
1,dissatisfied,Male,Loyal Customer,39,Personal Travel,Business,1104,4,2,4,3,2,3,2,1,1,4,1,1,1,1,0,0.0
2,dissatisfied,Female,Loyal Customer,23,Business travel,Eco Plus,1682,4,5,5,5,4,4,3,4,4,5,4,4,4,4,0,0.0
3,dissatisfied,Female,Loyal Customer,24,Personal Travel,Eco,1698,3,5,3,4,5,3,5,5,5,1,2,1,2,5,0,10.0
4,dissatisfied,Male,Loyal Customer,48,Business travel,Eco,1378,2,3,3,3,2,2,2,2,1,2,3,4,3,2,0,0.0
5,dissatisfied,Male,Loyal Customer,28,Personal Travel,Business,2307,4,4,4,3,2,4,3,2,5,3,5,3,5,2,23,12.0
6,satisfied,Female,Loyal Customer,45,Personal Travel,Eco,628,5,5,3,5,4,4,4,4,4,5,4,4,4,4,25,27.0
7,dissatisfied,Female,Loyal Customer,29,Business travel,Business,3842,1,3,3,3,1,1,1,1,1,3,4,4,4,1,0,0.0
8,satisfied,Male,Loyal Customer,47,Business travel,Business,2120,0,0,0,1,3,5,4,4,4,4,4,5,4,4,1,0.0
9,dissatisfied,Female,disloyal Customer,23,Business travel,Eco,1880,4,4,4,3,3,4,3,3,1,1,4,2,3,3,0,2.0
10,dissatisfied,Male,disloyal Customer,39,Business travel,Eco,1176,4,0,4,1,4,4,4,4,2,1,4,2,1,4,0,0.0
11,dissatisfied,Male,Loyal Customer,53,Business travel,Eco,1606,2,1,1,1,2,2,2,2,3,1,3,3,4,2,0,0.0
12,satisfied,Female,Loyal Customer,63,Personal Travel,Eco,652,0,0,0,5,4,4,5,3,3,3,3,3,3,5,0,0.0
13,dissatisfied,Female,Loyal Customer,40,Business travel,Business,3117,2,2,2,2,2,4,3,2,2,3,2,4,2,3,106,125.0
14,satisfied,Female,Loyal Customer,48,Business travel,Business,519,1,1,1,1,4,4,4,5,5,5,5,5,5,4,71,63.0
15,satisfied,Female,Loyal Customer,53,Business travel,Business,2817,1,1,1,1,5,5,5,5,5,5,5,4,5,3,0,0.0
16,satisfied,Male,disloyal Customer,25,Business travel,Eco,2312,4,4,4,2,3,4,3,3,2,4,4,1,1,3,0,24.0
17,satisfied,Female,Loyal Customer,60,Business travel,Business,2305,4,4,4,4,5,5,5,5,5,5,5,5,5,4,0,0.0
18,satisfied,Female,Loyal Customer,37,Personal Travel,Eco,1933,3,3,3,3,4,5,4,4,4,4,4,3,4,3,11,11.0
19,dissatisfied,Male,Loyal Customer,41,Business travel,Business,2047,4,5,1,5,4,3,4,2,2,1,4,2,2,2,0,0.0
20,satisfied,Male,Loyal Customer,22,Personal Travel,Eco,2451,5,4,5,4,2,5,2,2,3,5,5,5,5,2,2,0.0
21,satisfied,Male,Loyal Customer,41,Business travel,Business,3242,2,2,2,2,2,5,5,5,5,5,5,4,5,5,0,0.0
22,dissatisfied,Male,Loyal Customer,17,Business travel,Business,3299,1,3,5,3,1,1,1,1,4,3,4,3,4,1,14,3.0
23,dissatisfied,Female,Loyal Customer,42,Business travel,Business,280,3,4,4,4,5,3,3,3,3,3,3,1,3,1,0,0.0
24,dissatisfied,Female,disloyal Customer,28,Business travel,Business,3552,2,2,2,2,2,2,2,2,5,2,4,4,5,2,70,31.0
25,dissatisfied,Male,Loyal Customer,58,Personal Travel,Eco,1146,2,5,2,3,3,2,3,3,5,4,1,2,3,3,0,0.0
26,satisfied,Female,Loyal Customer,19,Personal Travel,Eco,3775,0,4,0,3,2,0,2,2,3,3,4,1,4,2,19,0.0
27,satisfied,Female,disloyal Customer,16,Business travel,Business,1729,0,0,0,4,2,0,2,2,3,5,5,5,4,2,0,0.0
28,satisfied,Male,Loyal Customer,40,Business travel,Business,1662,5,4,5,5,3,5,4,3,3,4,3,3,3,5,8,1.0
29,dissatisfied,Female,disloyal Customer,20,Business travel,Eco,2019,1,3,1,3,2,1,4,2,4,3,4,3,3,2,1,0.0
30,satisfied,Female,Loyal Customer,45,Personal Travel,Eco,1256,0,1,0,4,5,0,5,5,3,1,4,2,4,5,32,18.0
31,dissatisfied,Female,Loyal Customer,51,Personal Travel,Eco,684,4,4,4,1,2,5,4,1,1,4,1,5,1,5,0,0.0
32,satisfied,Female,Loyal Customer,65,Business travel,Eco,288,5,1,1,1,1,4,5,5,5,5,5,2,5,2,24,0.0
33,dissatisfied,Male,disloyal Customer,39,Business travel,Business,1608,4,4,4,3,1,4,1,1,2,4,3,2,4,1,0,8.0
34,satisfied,Female,Loyal Customer,52,Personal Travel,Eco,498,5,4,5,3,5,2,2,3,2,4,5,2,3,2,7,14.0
35,dissatisfied,Female,disloyal Customer,20,Business travel,Eco,2085,4,5,4,3,4,4,2,4,2,3,1,5,1,4,0,0.0
36,dissatisfied,Male,Loyal Customer,18,Personal Travel,Eco,2908,3,4,3,4,4,3,4,4,2,2,4,2,4,4,0,0.0
37,satisfied,Female,Loyal Customer,52,Personal Travel,Eco Plus,780,5,5,5,5,2,4,5,5,5,5,5,5,5,3,0,0.0
38,satisfied,Male,Loyal Customer,43,Business travel,Business,3020,1,1,1,1,5,5,5,4,4,4,4,5,4,3,55,54.0
39,satisfied,Female,Loyal Customer,12,Personal Travel,Eco,1965,4,4,4,4,5,4,5,2,2,2,2,5,2,5,52,68.0
40,satisfied,Female,Loyal Customer,52,Personal Travel,Eco,571,4,5,4,2,4,4,5,5,5,4,5,4,5,3,0,0.0
41,satisfied,Female,Loyal Customer,49,Business travel,Eco Plus,2588,5,4,4,4,5,5,5,3,2,4,4,5,5,5,279,276.0
42,dissatisfied,Female,disloyal Customer,37,Business travel,Business,1813,2,2,2,5,4,2,4,4,3,2,4,3,4,4,0,0.0
43,satisfied,Male,disloyal Customer,26,Business travel,Business,1297,4,0,4,4,5,4,5,5,3,3,5,3,5,5,72,70.0
44,dissatisfied,Male,Loyal Customer,60,Personal Travel,Eco,3692,1,4,1,3,2,1,2,2,5,2,3,5,5,2,0,0.0
45,dissatisfied,Female,disloyal Customer,40,Business travel,Business,1720,3,3,3,1,1,3,1,1,3,2,4,5,5,1,11,9.0
46,satisfied,Male,Loyal Customer,59,Business travel,Eco,1151,4,2,2,2,4,4,4,4,2,2,3,2,2,4,6,0.0
47,satisfied,Female,Loyal Customer,22,Business travel,Business,2482,2,1,2,2,4,4,4,4,3,5,4,4,4,4,0,0.0
48,dissatisfied,Male,Loyal Customer,39,Personal Travel,Eco,1641,1,2,3,4,4,3,4,4,3,2,3,3,4,4,0,0.0
49,satisfied,Female,disloyal Customer,22,Business travel,Eco,2167,4,4,4,2,1,4,1,1,5,3,4,4,4,1,0,3.0
50,satisfied,Male,Loyal Customer,40,Business travel,Business,3835,3,3,3,3,5,5,5,1,3,5,4,5,4,5,0,0.0
51,satisfied,Male,Loyal Customer,25,Business travel,Eco Plus,1581,0,3,0,3,5,0,5,5,1,2,3,2,1,5,0,18.0
52,dissatisfied,Male,disloyal Customer,38,Business travel,Business,2093,3,3,3,2,5,3,5,5,5,4,5,5,4,5,5,3.0
53,dissatisfied,Female,Loyal Customer,45,Business travel,Business,3835,3,1,1,1,1,3,4,3,3,3,3,3,3,3,39,24.0
54,dissatisfied,Female,Loyal Customer,57,Personal Travel,Business,58,4,3,4,2,3,3,5,2,2,4,4,4,2,4,6,7.0
55,dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco,1990,1,2,0,3,4,0,3,4,4,2,2,4,3,4,0,0.0
56,dissatisfied,Male,Loyal Customer,38,Personal Travel,Business,2661,3,1,3,3,4,4,3,2,2,3,5,3,2,3,7,0.0
57,satisfied,Female,Loyal Customer,34,Business travel,Business,2196,3,3,3,3,5,4,4,4,4,4,4,5,4,3,0,0.0
58,satisfied,Female,disloyal Customer,39,Business travel,Business,2498,2,2,2,1,3,2,3,3,3,3,4,3,4,3,21,0.0
59,satisfied,Female,Loyal Customer,68,Personal Travel,Eco,950,2,2,2,2,3,5,4,4,4,4,4,5,4,3,2,1.0
60,dissatisfied,Male,Loyal Customer,41,Business travel,Eco,1723,3,4,4,4,3,4,3,3,4,1,3,3,4,3,23,17.0
61,satisfied,Female,Loyal Customer,49,Business travel,Business,2152,5,5,5,5,1,5,2,5,5,5,5,3,5,1,17,8.0
62,dissatisfied,Female,Loyal Customer,23,Business travel,Business,1890,3,2,2,2,3,3,3,3,3,4,3,1,4,3,9,5.0
63,satisfied,Male,Loyal Customer,54,Business travel,Business,3796,3,2,3,3,3,3,3,4,4,4,4,3,4,5,0,0.0
64,satisfied,Male,Loyal Customer,28,Business travel,Business,2352,3,3,3,3,4,4,4,4,5,4,4,3,4,4,7,2.0
65,dissatisfied,Female,Loyal Customer,64,Business travel,Eco,1191,2,4,4,4,2,3,3,1,1,2,1,2,1,2,94,86.0
66,dissatisfied,Male,Loyal Customer,43,Business travel,Eco,1859,2,3,4,3,2,2,2,2,1,2,4,1,3,2,1,12.0
67,satisfied,Female,Loyal Customer,36,Business travel,Business,3581,3,3,3,3,1,3,3,4,4,4,4,2,4,2,0,7.0
68,satisfied,Female,Loyal Customer,54,Business travel,Business,1061,4,4,4,4,3,4,5,4,4,4,4,3,4,4,0,0.0
69,satisfied,Female,Loyal Customer,43,Business travel,Eco,542,4,4,1,4,2,4,4,4,4,4,4,2,4,5,0,0.0
70,satisfied,Male,Loyal Customer,26,Business travel,Business,1688,0,0,0,1,3,3,3,3,4,4,4,3,4,3,0,0.0
71,dissatisfied,Male,Loyal Customer,32,Business travel,Eco,2499,4,5,1,1,4,4,4,4,3,2,3,3,3,4,38,33.0
72,dissatisfied,Male,Loyal Customer,41,Personal Travel,Eco Plus,932,4,4,4,3,5,4,5,5,4,5,4,4,5,5,86,118.0
73,dissatisfied,Female,Loyal Customer,27,Business travel,Business,1810,1,4,4,4,1,1,1,1,2,5,2,1,3,1,0,17.0
74,satisfied,Male,Loyal Customer,26,Business travel,Business,3489,4,4,4,4,3,4,3,3,1,4,4,4,2,3,0,0.0
75,satisfied,Female,Loyal Customer,56,Personal Travel,Eco Plus,391,4,2,2,2,4,4,4,4,4,3,5,5,1,4,5,0.0
76,satisfied,Female,Loyal Customer,45,Business travel,Business,648,3,3,3,3,2,5,4,5,5,5,5,4,5,5,0,0.0
77,dissatisfied,Male,Loyal Customer,62,Business travel,Eco Plus,1309,2,3,3,3,2,2,2,2,4,1,4,4,4,2,12,15.0
78,satisfied,Female,Loyal Customer,22,Business travel,Business,5274,1,1,1,1,5,5,5,5,3,3,5,4,4,5,0,0.0
79,satisfied,Male,Loyal Customer,59,Business travel,Business,2862,4,4,4,4,2,5,5,4,4,4,4,3,4,3,0,0.0
80,satisfied,Male,Loyal Customer,49,Business travel,Business,502,4,4,4,4,5,4,5,4,4,4,4,4,4,4,0,0.0
81,dissatisfied,Female,Loyal Customer,24,Business travel,Business,4359,2,2,2,2,2,2,2,3,1,3,3,2,4,2,151,131.0
82,dissatisfied,Male,disloyal Customer,56,Business travel,Business,1475,3,3,3,1,2,3,3,2,4,3,4,5,5,2,0,0.0
83,dissatisfied,Male,Loyal Customer,46,Business travel,Business,1103,1,4,4,4,5,3,3,1,1,1,1,1,1,3,0,6.0
84,dissatisfied,Female,Loyal Customer,14,Business travel,Business,2854,3,2,2,2,3,3,3,3,3,3,3,1,4,3,0,0.0
85,dissatisfied,Male,disloyal Customer,39,Business travel,Eco,2191,4,1,4,4,5,4,5,5,1,5,4,2,3,5,0,8.0
86,satisfied,Male,Loyal Customer,40,Business travel,Business,3092,5,5,5,5,4,3,3,3,3,5,4,3,5,3,271,270.0
87,dissatisfied,Female,Loyal Customer,44,Business travel,Business,1765,2,3,3,3,5,3,2,2,2,2,2,4,2,1,5,25.0
88,dissatisfied,Female,Loyal Customer,54,Personal Travel,Eco,840,4,4,4,2,1,5,1,3,3,4,3,4,3,1,7,1.0
89,dissatisfied,Female,disloyal Customer,21,Business travel,Eco,2503,4,4,4,2,4,4,3,4,5,2,4,2,2,4,6,4.0
90,satisfied,Male,Loyal Customer,41,Business travel,Business,1638,4,4,4,4,2,5,5,5,5,5,5,5,5,5,11,0.0
91,satisfied,Female,Loyal Customer,21,Business travel,Business,2921,4,4,4,4,5,5,5,5,1,4,1,3,3,5,5,0.0
92,satisfied,Male,Loyal Customer,59,Business travel,Business,1436,2,2,5,2,2,5,4,4,4,4,4,4,4,5,15,8.0
93,dissatisfied,Female,disloyal Customer,52,Business travel,Eco Plus,2358,2,2,2,3,1,2,1,1,3,1,3,3,2,1,0,0.0
94,dissatisfied,Male,Loyal Customer,31,Personal Travel,Eco,2365,3,4,3,3,2,3,2,2,3,2,4,5,5,2,0,0.0
95,dissatisfied,Male,Loyal Customer,33,Business travel,Eco Plus,1755,2,3,3,3,2,2,2,2,3,4,4,4,4,2,19,11.0
96,dissatisfied,Male,disloyal Customer,36,Business travel,Business,1212,4,4,4,3,2,4,4,2,5,5,4,4,5,2,34,27.0
97,satisfied,Male,Loyal Customer,41,Business travel,Eco Plus,2625,5,3,5,3,5,5,5,5,2,1,3,3,2,5,0,0.0
98,satisfied,Female,Loyal Customer,42,Personal Travel,Eco,1018,3,3,3,3,1,5,2,5,5,5,5,4,5,4,0,0.0
99,dissatisfied,Female,disloyal Customer,40,Business travel,Business,1673,3,4,4,4,3,4,3,3,3,5,3,1,4,3,2,2.0
100,dissatisfied,Female,disloyal Customer,44,Business travel,Eco,1659,3,4,4,2,4,4,4,4,1,3,2,2,3,4,0,0.0
101,dissatisfied,Male,Loyal Customer,31,Personal Travel,Eco,2550,2,4,2,4,2,2,2,2,2,4,3,2,4,2,41,27.0
102,satisfied,Female,Loyal Customer,52,Business travel,Business,468,3,3,3,3,4,2,3,4,4,4,4,4,4,1,3,12.0
103,satisfied,Female,Loyal Customer,38,Personal Travel,Eco,1195,5,4,4,4,3,3,3,5,5,5,5,5,5,5,0,0.0
104,dissatisfied,Female,disloyal Customer,44,Business travel,Business,1336,3,3,3,1,1,3,1,1,4,2,5,4,4,1,0,0.0
105,dissatisfied,Male,Loyal Customer,37,Business travel,Business,3034,2,5,5,5,3,4,4,4,4,4,2,2,4,3,0,0.0
106,dissatisfied,Female,disloyal Customer,28,Business travel,Eco,2698,2,2,2,4,2,2,2,2,2,4,1,2,3,2,0,0.0
107,satisfied,Female,Loyal Customer,26,Business travel,Business,4643,1,1,1,1,5,5,5,5,3,5,5,5,4,5,3,0.0
108,dissatisfied,Male,disloyal Customer,37,Business travel,Eco,1432,2,5,2,3,4,2,4,4,2,4,2,3,5,4,0,0.0
109,satisfied,Male,Loyal Customer,53,Business travel,Business,2740,2,2,2,2,5,5,4,2,2,2,2,3,2,5,6,0.0
110,satisfied,Female,disloyal Customer,26,Business travel,Eco,2069,5,0,5,2,2,5,4,2,5,3,3,4,1,2,0,0.0
111,satisfied,Female,Loyal Customer,38,Business travel,Business,2057,2,2,2,2,2,5,5,3,3,3,3,4,3,3,0,0.0
112,satisfied,Female,Loyal Customer,64,Personal Travel,Business,404,3,3,3,3,2,5,5,4,4,5,4,4,4,5,0,0.0
113,satisfied,Female,Loyal Customer,49,Business travel,Business,559,2,2,2,2,2,4,4,4,4,4,4,3,4,3,0,0.0
114,satisfied,Male,Loyal Customer,49,Business travel,Eco Plus,2022,5,2,2,2,5,5,5,5,1,5,1,2,3,5,4,11.0
