ID,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,term_deposit
1,58,management,2,tertiary,0,2143,1,0,5,may,261,1,-1,0,0
2,44,technician,1,secondary,0,29,1,0,5,may,151,1,-1,0,0
3,33,entrepreneur,2,secondary,0,2,1,1,5,may,76,1,-1,0,0
4,47,blue-collar,2,unknown,0,1506,1,0,5,may,92,1,-1,0,0
5,33,unknown,1,unknown,0,1,0,0,5,may,198,1,-1,0,0
6,35,management,2,tertiary,0,231,1,0,5,may,139,1,-1,0,0
7,28,management,1,tertiary,0,447,1,1,5,may,217,1,-1,0,0
8,42,entrepreneur,0,tertiary,1,2,1,0,5,may,380,1,-1,0,0
9,58,retired,2,primary,0,121,1,0,5,may,50,1,-1,0,0
10,43,technician,1,secondary,0,593,1,0,5,may,55,1,-1,0,0
11,41,admin.,0,secondary,0,270,1,0,5,may,222,1,-1,0,0
12,29,admin.,1,secondary,0,390,1,0,5,may,137,1,-1,0,0
13,53,technician,2,secondary,0,6,1,0,5,may,517,1,-1,0,0
14,58,technician,2,unknown,0,71,1,0,5,may,71,1,-1,0,0
15,57,services,2,secondary,0,162,1,0,5,may,174,1,-1,0,0
16,51,retired,2,primary,0,229,1,0,5,may,353,1,-1,0,0
17,45,admin.,1,unknown,0,13,1,0,5,may,98,1,-1,0,0
18,57,blue-collar,2,primary,0,52,1,0,5,may,38,1,-1,0,0
19,60,retired,2,primary,0,60,1,0,5,may,219,1,-1,0,0
20,33,services,2,secondary,0,0,1,0,5,may,54,1,-1,0,0
21,28,blue-collar,2,secondary,0,723,1,1,5,may,262,1,-1,0,0
22,56,management,2,tertiary,0,779,1,0,5,may,164,1,-1,0,0
23,32,blue-collar,1,primary,0,23,1,1,5,may,160,1,-1,0,0
24,25,services,2,secondary,0,50,1,0,5,may,342,1,-1,0,0
25,40,retired,2,primary,0,0,1,1,5,may,181,1,-1,0,0
26,44,admin.,2,secondary,0,-372,1,0,5,may,172,1,-1,0,0
27,39,management,1,tertiary,0,255,1,0,5,may,296,1,-1,0,0
28,52,entrepreneur,2,secondary,0,113,1,1,5,may,127,1,-1,0,0
29,46,management,1,secondary,0,-246,1,0,5,may,255,2,-1,0,0
30,36,technician,1,secondary,0,265,1,1,5,may,348,1,-1,0,0
31,57,technician,2,secondary,0,839,0,1,5,may,225,1,-1,0,0
32,49,management,2,tertiary,0,378,1,0,5,may,230,1,-1,0,0
33,60,admin.,2,secondary,0,39,1,1,5,may,208,1,-1,0,0
34,59,blue-collar,2,secondary,0,0,1,0,5,may,226,1,-1,0,0
35,51,management,2,tertiary,0,10635,1,0,5,may,336,1,-1,0,0
36,57,technician,0,secondary,0,63,1,0,5,may,242,1,-1,0,0
37,25,blue-collar,2,secondary,0,-7,1,0,5,may,365,1,-1,0,0
38,53,technician,2,secondary,0,-3,0,0,5,may,1666,1,-1,0,0
39,36,admin.,0,secondary,0,506,1,0,5,may,577,1,-1,0,0
40,37,admin.,1,secondary,0,0,1,0,5,may,137,1,-1,0,0
41,44,services,0,secondary,0,2586,1,0,5,may,160,1,-1,0,0
42,50,management,2,secondary,0,49,1,0,5,may,180,2,-1,0,0
43,60,blue-collar,2,unknown,0,104,1,0,5,may,22,1,-1,0,0
44,54,retired,2,secondary,0,529,1,0,5,may,1492,1,-1,0,0
45,58,retired,2,unknown,0,96,1,0,5,may,616,1,-1,0,0
46,36,admin.,1,primary,0,-171,1,0,5,may,242,1,-1,0,0
47,58,self-employed,2,tertiary,0,-364,1,0,5,may,355,1,-1,0,0
48,44,technician,2,secondary,0,0,1,0,5,may,225,2,-1,0,0
49,55,technician,0,secondary,0,0,0,0,5,may,160,1,-1,0,0
50,29,management,1,tertiary,0,0,1,0,5,may,363,1,-1,0,0
51,54,blue-collar,2,secondary,0,1291,1,0,5,may,266,1,-1,0,0
52,48,management,0,tertiary,0,-244,1,0,5,may,253,1,-1,0,0
53,32,management,2,tertiary,0,0,1,0,5,may,179,1,-1,0,0
54,42,admin.,1,secondary,0,-76,1,0,5,may,787,1,-1,0,0
55,24,technician,1,secondary,0,-103,1,1,5,may,145,1,-1,0,0
56,38,entrepreneur,1,tertiary,0,243,0,1,5,may,174,1,-1,0,0
57,38,management,1,tertiary,0,424,1,0,5,may,104,1,-1,0,0
