age,job,marital,education,default,balance,housing,loan,duration,campaign,pdays,previous,term_deposit,last_contact_day
0,30,management,1,tertiary,0,1243,1,0,135,1,-1,0,0,143
1,28,student,1,secondary,0,5916,0,0,259,1,63,5,0,142
2,29,management,1,secondary,0,0,0,1,463,2,-1,0,0,202
3,32,technician,1,unknown,0,317,1,0,394,2,-1,0,0,141
4,54,admin,2,primary,0,546,1,0,40,1,-1,0,0,99
5,34,blue-collar,2,secondary,0,559,1,0,47,1,193,1,0,322
6,50,blue-collar,2,primary,0,27,1,0,142,1,-1,0,0,205
7,36,admin,1,secondary,0,119,0,0,93,2,-1,0,0,153
8,32,blue-collar,2,secondary,0,10142,1,0,249,1,-1,0,0,324
9,38,management,0,tertiary,0,441,1,0,67,1,-1,0,0,30
10,37,blue-collar,1,primary,0,1210,0,0,742,1,-1,0,0,185
11,45,self-employed,2,tertiary,0,430,1,0,221,1,206,2,0,33
12,40,management,2,tertiary,0,655,1,0,227,1,-1,0,0,146
13,57,management,2,tertiary,0,246,1,0,322,2,-1,0,0,204
14,31,technician,2,secondary,0,477,0,0,146,1,-1,0,0,120
15,40,admin,2,secondary,0,35,0,0,78,1,-1,0,0,168
16,34,management,2,tertiary,0,272,1,0,237,2,-1,0,0,202
17,44,blue-collar,2,secondary,0,788,1,0,392,1,-1,0,0,107
18,33,management,1,tertiary,0,0,0,0,236,10,-1,0,0,240
19,35,technician,2,tertiary,0,118,0,0,358,2,-1,0,0,218
20,40,management,2,secondary,0,6695,1,0,115,1,-1,0,0,150
21,29,blue-collar,2,primary,1,-303,1,1,298,3,-1,0,0,155
22,50,self-employed,1,tertiary,0,21,1,0,157,1,188,1,0,322
23,36,services,2,secondary,0,22,1,0,125,2,-1,0,0,126
24,43,blue-collar,2,primary,0,-124,1,0,47,5,-1,0,0,147
25,29,management,2,tertiary,0,16,1,0,605,6,-1,0,0,197
26,47,technician,2,secondary,0,3519,0,1,152,1,-1,0,0,142
27,27,management,1,tertiary,0,7944,1,0,99,3,346,1,0,135
28,38,management,2,unknown,0,1257,0,0,64,6,-1,0,0,325
29,37,management,2,tertiary,0,1639,1,0,207,3,272,3,0,35
30,50,admin,0,secondary,0,556,1,0,305,1,-1,0,0,206
31,25,technician,1,secondary,0,1105,1,0,608,1,-1,0,0,107
32,31,services,2,secondary,0,309,1,0,146,6,-1,0,0,143
33,41,blue-collar,0,primary,0,1887,0,0,168,2,-1,0,0,163
34,25,technician,1,tertiary,0,2206,1,0,114,1,-1,0,0,166
35,30,student,1,tertiary,0,34,1,0,289,1,-1,0,0,126
36,48,management,2,tertiary,0,-10,0,0,144,1,-1,0,0,155
37,46,self-employed,2,tertiary,0,291,0,0,105,4,-1,0,0,40
38,46,blue-collar,2,secondary,0,438,0,0,262,5,-1,0,0,220
39,30,management,2,tertiary,0,3,1,0,67,9,-1,0,0,203
40,38,management,2,tertiary,0,76,1,0,167,2,287,3,0,110
41,48,technician,2,secondary,0,32,1,1,110,2,-1,0,0,321
42,50,retired,2,primary,0,1098,0,0,168,1,-1,0,0,168
43,35,management,1,tertiary,0,361,1,0,169,2,-1,0,0,223
44,58,retired,1,secondary,0,1640,0,1,72,6,274,4,0,35
