Negara,Tahun,Jenis_Kelamin,Umur,Jumlah_Bunuhdiri,populasi,Bunuhdiri_per100kpop,GDP_perkapita_usd,Latitude,Longitude,Benua
Albania,2001-01-01,male,25-34 years,22,206484,10.65,1451,41.31666667,19.816667,Europe
Albania,2001-01-01,male,35-54 years,34,378826,8.98,1451,41.31666667,19.816667,Europe
Albania,2001-01-01,male,55-74 years,11,196670,5.59,1451,41.31666667,19.816667,Europe
Albania,2001-01-01,female,75+ years,2,47254,4.23,1451,41.31666667,19.816667,Europe
Albania,2001-01-01,male,15-24 years,10,256039,3.91,1451,41.31666667,19.816667,Europe
Albania,2001-01-01,female,15-24 years,9,271359,3.32,1451,41.31666667,19.816667,Europe
Albania,2001-01-01,female,35-54 years,12,370191,3.24,1451,41.31666667,19.816667,Europe
Albania,2001-01-01,male,75+ years,1,31044,3.22,1451,41.31666667,19.816667,Europe
Albania,2001-01-01,female,55-74 years,6,189799,3.16,1451,41.31666667,19.816667,Europe
Albania,2001-01-01,male,5-14 years,6,321556,1.87,1451,41.31666667,19.816667,Europe
Albania,2001-01-01,female,25-34 years,4,222771,1.8,1451,41.31666667,19.816667,Europe
Albania,2001-01-01,female,5-14 years,2,307356,0.65,1451,41.31666667,19.816667,Europe
Albania,2002-01-01,male,75+ years,4,31007,12.9,1573,41.31666667,19.816667,Europe
Albania,2002-01-01,male,25-34 years,23,206286,11.15,1573,41.31666667,19.816667,Europe
Albania,2002-01-01,male,35-54 years,35,382139,9.16,1573,41.31666667,19.816667,Europe
Albania,2002-01-01,male,55-74 years,13,198130,6.56,1573,41.31666667,19.816667,Europe
Albania,2002-01-01,male,15-24 years,15,263067,5.7,1573,41.31666667,19.816667,Europe
Albania,2002-01-01,female,15-24 years,14,275970,5.07,1573,41.31666667,19.816667,Europe
Albania,2002-01-01,female,35-54 years,15,375113,4,1573,41.31666667,19.816667,Europe
Albania,2002-01-01,female,25-34 years,7,223685,3.13,1573,41.31666667,19.816667,Europe
Albania,2002-01-01,female,75+ years,1,47407,2.11,1573,41.31666667,19.816667,Europe
Albania,2002-01-01,female,55-74 years,4,191712,2.09,1573,41.31666667,19.816667,Europe
Albania,2002-01-01,female,5-14 years,1,304850,0.33,1573,41.31666667,19.816667,Europe
Albania,2002-01-01,male,5-14 years,1,319473,0.31,1573,41.31666667,19.816667,Europe
Albania,2003-01-01,female,75+ years,6,49088,12.22,2021,41.31666667,19.816667,Europe
Albania,2003-01-01,male,55-74 years,16,201520,7.94,2021,41.31666667,19.816667,Europe
Albania,2003-01-01,male,35-54 years,28,386196,7.25,2021,41.31666667,19.816667,Europe
Albania,2003-01-01,male,15-24 years,15,273235,5.49,2021,41.31666667,19.816667,Europe
Albania,2003-01-01,female,15-24 years,14,283709,4.93,2021,41.31666667,19.816667,Europe
Albania,2003-01-01,female,55-74 years,9,195699,4.6,2021,41.31666667,19.816667,Europe
Albania,2003-01-01,male,25-34 years,9,205433,4.38,2021,41.31666667,19.816667,Europe
